Date,Time_IST,Mode,Ticker,Direction,TimeFrame,Entry_Price,Qty,SL,Target,MaxHold,Exit_Price,Exit_Time,P&L,P&L_%,Status,Pattern_Rank,Expected_WinRate,Pattern_Factors,Reason,Signal_Indicators
2026-08-13,00:20:31 IST,US,^NDX,LONG,SWING_1d,29815.4,1,29216.17,31004.91,5,30031.75,2026-08-18 00:20:50 IST,210.39,0.71,CLOSED,64,60.0,Price>SMA50+SMA20<SMA50,#64SW Price>SMA50+SMA20<SMA50 | Expiry 5d,"{""Low"": 29715.882812, ""EMA9"": 29359.640088, ""Ret"": 0.009718, ""High"": 29881.501953, ""BB_lo"": 27325.025984, ""SMA20"": 28819.368359, ""RSI14"": 57.697353, ""EMA20"": 29137.008391, ""low20"": 27176.029297, ""high50"": 30762.199219, ""2Red"": 0.0, ""SMA50"": 29327.075664, ""Open"": 29875.179688, ""2Green"": 0.0, ""high20"": 29946.939453, ""EMA200"": 26918.89614, ""Close"": 29812.414062, ""low50"": 27176.029297, ""BB_hi"": 30313.710735, ""Volume"": 907367170.0, ""EMA50"": 28974.414077}"
2026-08-13,19:26:46 IST,CRYPTO,BTC-USD,SHORT,INTRADAY_1h,63558.02,1,64575.97,61712.99,12,63572.72,2026-08-14 07:29:09 IST,-205.37,-0.32,CLOSED,1,47.42,EMA9>EMA20+Price>SMA20+RSI<50,#1ID EMA9>EMA20+Price>SMA20+RSI<50 | Expiry 12h,"{""Low"": 63371.941406, ""Volume"": 623003648.0, ""2Red"": 0.0, ""EMA20"": 63611.818313, ""Ret"": 0.00326, ""SMA50"": 63656.751172, ""SMA20"": 63543.019141, ""EMA9"": 63614.341905, ""RSI14"": 49.860262, ""High"": 63637.871094, ""Close"": 63621.640625, ""EMA50"": 63731.383884, ""Open"": 63414.898438}"
2026-08-14,08:51:44 IST,US,^DJT,LONG,SWING_1d,21930.29,2,21489.54,22805.22,5,21487.39,2026-08-19 07:44:59 IST,-894.57,-2.04,CLOSED,2,60.75,Price>SMA20+SMA20<SMA50,#2SW Price>SMA20+SMA20<SMA50 | SL Hit (intraday),"{""Low"": 21706.529297, ""EMA20"": 21709.269926, ""high20"": 22856.289062, ""Close"": 21928.099609, ""SMA50"": 21934.447109, ""low50"": 20877.189453, ""low20"": 20877.189453, ""BB_hi"": 22969.986474, ""EMA9"": 21597.663008, ""2Red"": 0.0, ""EMA50"": 21649.711973, ""2Green"": 1.0, ""high50"": 22856.289062, ""SMA20"": 21838.179492, ""High"": 21981.060547, ""BB_lo"": 20706.37251, ""RSI14"": 53.287871, ""Open"": 21706.529297, ""Ret"": 0.014971, ""Volume"": 55091251.0, ""EMA200"": 19802.261638}"
2026-08-16,07:48:23 IST,US,XLI,LONG,SWING_1d,186.53,274,182.78,193.97,5,182.76,2026-08-19 19:50:06 IST,-1042.73,-2.04,CLOSED,4,61.47,Range<1%+SMA20<EMA20,#4SW Range<1%+SMA20<EMA20 | 🎯 SL Hit (live),"{""High"": 186.880005, ""Ret"": 0.003875, ""low20"": 175.960007, ""2Green"": 0.0, ""high50"": 188.190002, ""RSI14"": 61.078094, ""EMA50"": 180.784267, ""Close"": 186.509995, ""EMA200"": 169.903574, ""SMA20"": 182.757, ""Open"": 186.179993, ""low50"": 169.449997, ""high20"": 188.190002, ""BB_hi"": 189.255108, ""Volume"": 3590300.0, ""BB_lo"": 176.258892, ""Low"": 185.600006, ""EMA9"": 185.096948, ""EMA20"": 183.591208, ""SMA50"": 180.9462, ""2Red"": 0.0}"
2026-08-16,07:48:23 IST,US,XLC,LONG,SWING_1d,112.96,453,110.69,117.47,5,110.68,2026-08-17 23:46:30 IST,-1043.55,-2.04,CLOSED,5,54.05,Close>Open+Range<1%,#5SW Close>Open+Range<1% | 🎯 SL Hit (live),"{""High"": 113.5, ""Ret"": 0.003554, ""low20"": 105.254997, ""2Green"": 1.0, ""high50"": 114.900002, ""RSI14"": 57.693389, ""EMA50"": 110.952212, ""Close"": 112.949997, ""EMA200"": 112.127388, ""SMA20"": 109.915, ""Open"": 112.760002, ""low50"": 105.029999, ""high20"": 114.029999, ""BB_hi"": 114.157832, ""Volume"": 2982800.0, ""BB_lo"": 105.672169, ""Low"": 112.644997, ""EMA9"": 111.36794, ""EMA20"": 110.655025, ""SMA50"": 110.0872, ""2Red"": 0.0}"
2026-08-17,07:46:08 IST,US,^NYA,LONG,SWING_1d,24824.16,2,24325.25,25814.55,5,24731.06,2026-08-22 08:30:51 IST,-196.13,-0.4,CLOSED,3,60.9,Range<1%+SMA20<EMA20,#3SW Range<1%+SMA20<EMA20 | Expiry 5d,"{""low50"": 23051.849609, ""high20"": 24865.810547, ""Low"": 24793.119141, ""EMA9"": 24627.550049, ""Close"": 24821.679688, ""EMA50"": 23981.451262, ""Open"": 24809.650391, ""high50"": 24865.810547, ""RSI14"": 72.874542, ""BB_hi"": 25013.035497, ""2Red"": 0.0, ""low20"": 23654.550781, ""SMA50"": 23920.874648, ""Ret"": 0.000485, ""SMA20"": 24295.94502, ""EMA200"": 22873.769402, ""High"": 24856.580078, ""2Green"": 1.0, ""EMA20"": 24386.256507, ""Volume"": 4159900000.0, ""BB_lo"": 23578.854542}"
2026-08-18,00:20:52 IST,US,^NDX,LONG,SWING_1d,30037.75,1,29434.06,31236.14,5,29431.12,2026-08-18 21:08:34 IST,-612.64,-2.04,CLOSED,31,65.29,Price>SMA50+2Red,#31SW Price>SMA50+2Red | 🎯 SL Hit (live),"{""2Green"": 0.0, ""BB_lo"": 27286.095909, ""BB_hi"": 30739.932411, ""EMA50"": 29094.133399, ""SMA50"": 29296.19418, ""high20"": 30179.820312, ""low50"": 27176.029297, ""Open"": 30150.775391, ""Volume"": 738669961.0, ""2Red"": 1.0, ""EMA200"": 27018.968072, ""RSI14"": 59.464348, ""low20"": 27176.029297, ""Ret"": -0.000379, ""EMA20"": 29369.788772, ""high50"": 30642.570312, ""Low"": 29991.732422, ""Close"": 30034.75, ""EMA9"": 29690.135225, ""SMA20"": 29013.01416, ""High"": 30195.71875}"
2026-08-18,00:20:52 IST,US,^SOX,LONG,SWING_1d,12695.43,4,12440.27,13201.92,5,12439.03,2026-08-18 19:01:05 IST,-1035.78,-2.04,CLOSED,47,52.14,Price>SMA50+SMA20<SMA50,#47SW Price>SMA50+SMA20<SMA50 | 🎯 SL Hit (live),"{""2Green"": 0.0, ""BB_lo"": 10774.692673, ""BB_hi"": 13091.762894, ""EMA50"": 12131.559047, ""SMA50"": 12589.289883, ""high20"": 12704.379883, ""low50"": 10445.44043, ""Open"": 12615.713867, ""Volume"": 0.0, ""2Red"": 0.0, ""EMA200"": 10014.932117, ""RSI14"": 56.525525, ""low20"": 10445.44043, ""Ret"": 0.022317, ""EMA20"": 12164.888538, ""high50"": 14655.290039, ""Low"": 12548.760742, ""Close"": 12694.15625, ""EMA9"": 12282.046905, ""SMA20"": 11933.227783, ""High"": 12770.709961}"
2026-08-18,22:27:41 IST,CRYPTO,TRX-USD,SHORT,INTRADAY_1h,0.3308,10000,0.3368,0.3219,12,0.3336,2026-08-19 10:28:01 IST,-38.32,-1.16,CLOSED,1,47.24,EMA9>EMA20+Price>SMA20+RSI<50,#1ID EMA9>EMA20+Price>SMA20+RSI<50 | Expiry 12h,"{""High"": 0.332598, ""Ret"": -0.000957, ""SMA50"": 0.331667, ""2Red"": 0.0, ""SMA20"": 0.33175, ""Close"": 0.33181, ""EMA20"": 0.331911, ""EMA50"": 0.331742, ""RSI14"": 49.741539, ""Low"": 0.331808, ""Volume"": 6364288.0, ""Open"": 0.33212, ""EMA9"": 0.332101}"
2026-08-19,00:19:33 IST,US,^NDX,LONG,SWING_1d,29497.05,1,28904.22,30673.86,5,29306.32,2026-08-24 00:57:24 IST,-196.63,-0.67,CLOSED,31,65.29,Price>SMA50+2Red,#31SW Price>SMA50+2Red | Expiry 5d,"{""EMA200"": 27043.208412, ""Open"": 29594.888672, ""2Red"": 1.0, ""Volume"": 761896613.0, ""EMA20"": 29378.235547, ""BB_lo"": 27293.298193, ""EMA50"": 29108.335005, ""SMA50"": 29306.136797, ""low20"": 27176.029297, ""RSI14"": 52.234146, ""low50"": 27176.029297, ""EMA9"": 29644.629039, ""2Green"": 0.0, ""Ret"": -0.016712, ""Low"": 29425.083984, ""high50"": 30642.570312, ""High"": 29677.287109, ""Close"": 29494.099609, ""BB_hi"": 30762.685206, ""SMA20"": 29027.991699, ""high20"": 30195.720703}"
2026-08-19,00:19:33 IST,US,XLC,LONG,SWING_1d,110.91,449,108.68,115.34,5,111.4,2026-08-24 00:57:24 IST,209.54,0.42,CLOSED,5,54.05,Close>Open+Range<1%,#5SW Close>Open+Range<1% | Expiry 5d,"{""EMA200"": 112.102379, ""Open"": 110.860001, ""2Red"": 0.0, ""Volume"": 2588486.0, ""EMA20"": 110.75551, ""BB_lo"": 105.694056, ""EMA50"": 110.959507, ""SMA50"": 110.0098, ""low20"": 105.254997, ""RSI14"": 50.840141, ""low50"": 105.029999, ""EMA9"": 111.226984, ""2Green"": 0.0, ""Ret"": 0.000722, ""Low"": 110.440002, ""high50"": 114.029999, ""High"": 111.445, ""Close"": 110.900002, ""BB_hi"": 114.286943, ""SMA20"": 109.9905, ""high20"": 113.5}"
2026-08-19,00:19:42 IST,CRYPTO,LINK-USD,SHORT,INTRADAY_1h,9.42,6388,9.59,9.16,12,9.62,2026-08-19 08:48:22 IST,-1450.26,-2.41,CLOSED,2,48.77,EMA9>EMA20+Price>SMA20+RSI<50,#2ID EMA9>EMA20+Price>SMA20+RSI<50 | 🎯 SL Hit (live),"{""EMA9"": 9.456613, ""Open"": 9.515, ""Ret"": -0.007146, ""Low"": 9.444, ""2Red"": 0.0, ""Volume"": 0.0, ""High"": 9.515, ""SMA50"": 9.4516, ""Close"": 9.448, ""EMA20"": 9.453193, ""EMA50"": 9.432804, ""SMA20"": 9.4472, ""RSI14"": 49.444614}"
2026-08-20,00:15:32 IST,US,^SOX,LONG,SWING_1d,11769.04,4,11532.51,12238.58,5,11531.36,2026-08-24 19:00:59 IST,-960.15,-2.04,CLOSED,3,60.59,Price<SMA50+EMA20<EMA50+Close<Open,#3SW Price<SMA50+EMA20<EMA50+Close<Open | SL Hit (intraday),"{""high50"": 14655.290039, ""2Red"": 1.0, ""SMA50"": 12560.484199, ""SMA20"": 11879.24458, ""Volume"": 0.0, ""2Green"": 0.0, ""Ret"": -0.018728, ""RSI14"": 45.395373, ""Close"": 11767.862305, ""EMA50"": 12109.407205, ""BB_hi"": 12987.608313, ""High"": 12138.508789, ""high20"": 12770.709961, ""low50"": 10445.44043, ""EMA9"": 12123.512074, ""low20"": 10445.44043, ""BB_lo"": 10770.880847, ""EMA20"": 12106.515365, ""Low"": 11633.796875, ""EMA200"": 10051.141803, ""Open"": 12063.850586}"
2026-08-22,00:18:33 IST,US,^DJT,LONG,SWING_1d,21574.15,2,21140.55,22434.87,5,21468.470703125,2026-08-25 20:32:54 IST,-211.36,-0.49,CLOSED,2,60.75,Price>SMA20+SMA20<SMA50,#2SW Price>SMA20+SMA20<SMA50 | STRATEGY_RETIRED v5.27,"{""2Green"": 0.0, ""2Red"": 0.0, ""BB_hi"": 22095.196229, ""BB_lo"": 20985.594982, ""Close"": 21571.990234, ""EMA20"": 21646.974173, ""EMA200"": 19908.947899, ""EMA50"": 21635.462685, ""EMA9"": 21563.034151, ""High"": 21665.400391, ""Low"": 21477.820312, ""Open"": 21480.509766, ""RSI14"": 47.699965, ""Ret"": 0.008874, ""SMA20"": 21540.395605, ""SMA50"": 21894.417578, ""Volume"": 30341318.0, ""_provenance"": {""captured_at_ist"": ""2026-08-22 00:18:33 IST"", ""provider"": ""market_data.download"", ""provider_chain"": [""yfinance"", ""yahoo_chart"", ""nasdaq_or_binance"", ""ohlc_cache""], ""snapshot_sha256"": ""2cb9ebe691a743091cd4a46c4f5ece28ed27ac8dd3b0eb394d3a9071dd8347b5""}, ""high20"": 22727.460938, ""high50"": 22856.289062, ""low20"": 20877.189453, ""low50"": 20877.189453}"
